"Date","Symbol","Open","High","Low","Close","Previous Close","Volume","Turnover","VWAP","Change","Change%"
"2026-01-22","RELIANCE","1410.0999755859375","1419.5","1395.0","1402.5","1404.5999755859375","15721693","0.0","0.0","-2.10","-0.15"
"2026-01-23","RELIANCE","1401.800048828125","1407.0","1381.0","1386.0999755859375","1402.5","9837802","0.0","0.0","-16.40","-1.17"
"2026-01-27","RELIANCE","1380.0","1391.5999755859375","1368.0","1380.5","1386.0999755859375","26302396","0.0","0.0","-5.60","-0.40"
"2026-01-28","RELIANCE","1385.0","1409.9000244140625","1384.9000244140625","1396.699951171875","1380.5","11121657","0.0","0.0","16.20","1.17"
"2026-01-29","RELIANCE","1402.9000244140625","1402.9000244140625","1384.0","1391.0","1396.699951171875","20846683","0.0","0.0","-5.70","-0.41"
"2026-01-30","RELIANCE","1382.5999755859375","1398.0","1378.5","1395.4000244140625","1391.0","11239835","0.0","0.0","4.40","0.32"
"2026-02-02","RELIANCE","1340.0","1392.9000244140625","1335.5","1390.4000244140625","1395.4000244140625","15711165","0.0","0.0","-5.00","-0.36"
"2026-02-03","RELIANCE","1473.9000244140625","1489.5","1430.199951171875","1437.0999755859375","1390.4000244140625","25456171","0.0","0.0","46.70","3.36"
"2026-02-04","RELIANCE","1444.0","1464.0","1440.300048828125","1456.800048828125","1437.0999755859375","8333387","0.0","0.0","19.70","1.37"
"2026-02-05","RELIANCE","1457.0","1461.5","1439.5","1443.4000244140625","1456.800048828125","11763658","0.0","0.0","-13.40","-0.92"
"2026-02-06","RELIANCE","1441.5","1452.800048828125","1433.5","1450.800048828125","1443.4000244140625","8277304","0.0","0.0","7.40","0.51"
"2026-02-09","RELIANCE","1458.0","1465.9000244140625","1453.0","1461.5999755859375","1450.800048828125","5775864","0.0","0.0","10.80","0.74"
"2026-02-10","RELIANCE","1471.0","1471.0","1452.199951171875","1458.5","1461.5999755859375","10259630","0.0","0.0","-3.10","-0.21"
"2026-02-11","RELIANCE","1459.5999755859375","1470.0","1453.5999755859375","1468.699951171875","1458.5","7106877","0.0","0.0","10.20","0.70"
"2026-02-12","RELIANCE","1470.0","1473.0","1445.5","1448.9000244140625","1468.699951171875","11135399","0.0","0.0","-19.80","-1.35"
"2026-02-13","RELIANCE","1445.5","1450.699951171875","1416.300048828125","1419.5999755859375","1448.9000244140625","10755693","0.0","0.0","-29.30","-2.02"
"2026-02-16","RELIANCE","1420.0999755859375","1439.5999755859375","1409.300048828125","1437.0999755859375","1419.5999755859375","5896514","0.0","0.0","17.50","1.23"
"2026-02-17","RELIANCE","1431.0999755859375","1431.800048828125","1418.5999755859375","1423.0","1437.0999755859375","10731630","0.0","0.0","-14.10","-0.98"
"2026-02-18","RELIANCE","1427.0","1442.0999755859375","1419.199951171875","1441.300048828125","1423.0","5521096","0.0","0.0","18.30","1.29"
"2026-02-19","RELIANCE","1443.0","1443.0","1400.0","1409.5","1441.300048828125","11884664","0.0","0.0","-31.80","-2.21"
"2026-02-20","RELIANCE","1409.5","1427.4000244140625","1406.0999755859375","1419.4000244140625","1409.5","8177670","0.0","0.0","9.90","0.70"
"2026-02-23","RELIANCE","1425.0","1434.9000244140625","1418.300048828125","1428.0","1419.4000244140625","7758856","0.0","0.0","8.60","0.61"
"2026-02-24","RELIANCE","1425.300048828125","1433.300048828125","1415.0","1428.800048828125","1428.0","12529409","0.0","0.0","0.80","0.06"
"2026-02-25","RELIANCE","1435.0","1440.5","1393.5","1398.5","1428.800048828125","10728792","0.0","0.0","-30.30","-2.12"
"2026-02-26","RELIANCE","1398.5","1412.9000244140625","1391.9000244140625","1406.800048828125","1398.5","16683858","0.0","0.0","8.30","0.59"
"2026-02-27","RELIANCE","1398.0","1410.4000244140625","1388.0999755859375","1393.9000244140625","1406.800048828125","12031440","0.0","0.0","-12.90","-0.92"
"2026-03-02","RELIANCE","1375.5","1378.5999755859375","1341.5","1358.0","1393.9000244140625","23728722","0.0","0.0","-35.90","-2.58"
"2026-03-04","RELIANCE","1330.0","1352.800048828125","1307.0","1345.0","1358.0","32495007","0.0","0.0","-13.00","-0.96"
